repo_name,owner,repo_name_short,language,description,html_url,norm_openrank,norm_star_fork_avg,norm_activity,openrank_slope,activity_volatility,star_growth_rate,ecosystem_correlation,contributor_strength,semantic_similarity,basic_strength_score,temporal_dynamic_score,relationship_enhancement_score,final_priority_score
sudheerj/reactjs-interview-questions,sudheerj,reactjs-interview-questions,JavaScript,List of top 500 ReactJS Interview Questions & Answers....Coding exercise questions are coming soon!!,https://github.com/sudheerj/reactjs-interview-questions,0.97,1.09,7.71,0.97,0.0,0.97,2.44,0.0,0.97,2.35,0.68,1.42,1.53
AmruthPillai/Reactive-Resume,AmruthPillai,Reactive-Resume,TypeScript,"A one-of-a-kind resume builder that keeps your privacy in mind. Completely secure, customizable, portable, open-source and free forever. Try it out today!",https://github.com/AmruthPillai/Reactive-Resume,0.76,0.77,8.3,0.76,0.03,0.76,3.19,0.03,0.76,2.27,0.54,1.76,1.53
RVC-Project/Retrieval-based-Voice-Conversion-WebUI,RVC-Project,Retrieval-based-Voice-Conversion-WebUI,Python,Easily train a good VC model with voice data <= 10 mins!,https://github.com/RVC-Project/Retrieval-based-Voice-Conversion-WebUI,0.74,0.78,9.53,0.74,0.01,0.74,2.4,0.01,0.74,2.51,0.52,1.35,1.53
SortableJS/Sortable,SortableJS,Sortable,JavaScript,Reorderable drag-and-drop lists for modern browsers and touch devices. No jQuery or framework required.,https://github.com/SortableJS/Sortable,0.68,0.7,9.32,0.68,0.01,0.68,2.9,0.01,0.68,2.41,0.48,1.59,1.53
CompVis/stable-diffusion,CompVis,stable-diffusion,Jupyter Notebook,A latent text-to-image diffusion model,https://github.com/CompVis/stable-diffusion,1.59,1.66,6.63,1.59,0.0,1.59,0.14,0.0,1.59,2.62,1.11,0.39,1.53
mlabonne/llm-course,mlabonne,llm-course,0,Course to get into Large Language Models (LLMs) with roadmaps and Colab notebooks.,https://github.com/mlabonne/llm-course,1.59,1.63,6.77,1.59,0.0,1.59,0.04,0.0,1.59,2.64,1.12,0.34,1.53
immerjs/immer,immerjs,immer,JavaScript,Create the next immutable state by mutating the current one,https://github.com/immerjs/immer,0.63,0.6,8.07,0.63,0.01,0.63,3.98,0.01,0.63,2.11,0.45,2.12,1.53
wasabeef/awesome-android-ui,wasabeef,awesome-android-ui,0,A curated list of awesome Android UI/UX libraries,https://github.com/wasabeef/awesome-android-ui,1.21,1.31,7.29,1.21,0.0,1.21,1.41,0.0,1.21,2.46,0.85,0.95,1.52
golang-standards/project-layout,golang-standards,project-layout,Makefile,Standard Go Project Layout,https://github.com/golang-standards/project-layout,1.21,1.21,7.29,1.21,0.0,1.21,1.53,0.0,1.21,2.43,0.85,1.01,1.52
docsifyjs/docsify,docsifyjs,docsify,JavaScript,🃏 A magical documentation site generator.,https://github.com/docsifyjs/docsify,0.68,0.74,7.88,0.68,0.01,0.68,3.71,0.01,0.68,2.13,0.48,1.99,1.52
webtorrent/webtorrent,webtorrent,webtorrent,JavaScript,⚡️ Streaming torrent client for the web,https://github.com/webtorrent/webtorrent,0.67,0.67,8.37,0.67,0.03,0.67,3.46,0.03,0.67,2.21,0.48,1.87,1.52
ageitgey/face_recognition,ageitgey,face_recognition,Python,The world's simplest facial recognition api for Python and the command line,https://github.com/ageitgey/face_recognition,1.23,1.4,7.74,1.23,0.0,1.23,1.01,0.0,1.23,2.58,0.86,0.75,1.52
DataTalksClub/data-engineering-zoomcamp,DataTalksClub,data-engineering-zoomcamp,Jupyter Notebook,Data Engineering Zoomcamp is a free 9-week course on building production-ready data pipelines. The next cohort starts in January 2026. Join the course here 👇🏼,https://github.com/DataTalksClub/data-engineering-zoomcamp,0.76,0.84,7.41,0.76,0.01,0.76,3.6,0.01,0.76,2.11,0.53,1.96,1.52
faif/python-patterns,faif,python-patterns,Python,A collection of design patterns/idioms in Python,https://github.com/faif/python-patterns,0.94,1.0,8.0,0.94,0.01,0.94,2.34,0.01,0.94,2.37,0.66,1.36,1.52
KRTirtho/spotube,KRTirtho,spotube,Dart,🎧 Open source music streaming app! Available for both desktop & mobile!,https://github.com/KRTirtho/spotube,0.96,0.91,9.03,0.96,0.02,0.96,1.66,0.02,0.96,2.56,0.67,1.02,1.52
FortAwesome/Font-Awesome,FortAwesome,Font-Awesome,JavaScript,"The iconic SVG, font, and CSS toolkit",https://github.com/FortAwesome/Font-Awesome,1.68,1.78,5.71,1.68,0.0,1.68,0.1,0.0,1.68,2.51,1.17,0.39,1.51
FuelLabs/fuel-core,FuelLabs,fuel-core,Rust,Rust full node implementation of the Fuel v2 protocol.,https://github.com/FuelLabs/fuel-core,1.26,1.21,7.1,1.26,0.01,1.26,1.33,0.01,1.26,2.41,0.89,0.92,1.51
unclecode/crawl4ai,unclecode,crawl4ai,Python,"🚀🤖 Crawl4AI: Open-source LLM Friendly Web Crawler & Scraper. Don't be shy, join here: https://discord.gg/jP8KfhDhyN",https://github.com/unclecode/crawl4ai,1.28,1.29,7.26,1.28,0.01,1.28,1.12,0.01,1.28,2.48,0.9,0.82,1.51
jesseduffield/lazydocker,jesseduffield,lazydocker,Go,The lazier way to manage everything docker,https://github.com/jesseduffield/lazydocker,1.08,1.01,8.23,1.08,0.01,1.08,1.59,0.01,1.08,2.49,0.75,1.01,1.51
drizzle-team/drizzle-orm,drizzle-team,drizzle-orm,TypeScript,ORM,https://github.com/drizzle-team/drizzle-orm,0.71,0.67,9.48,0.71,0.02,0.71,2.53,0.02,0.71,2.45,0.5,1.41,1.51
k88hudson/git-flight-rules,k88hudson,git-flight-rules,0,Flight rules for git,https://github.com/k88hudson/git-flight-rules,0.93,0.92,7.9,0.93,0.0,0.93,2.46,0.0,0.93,2.32,0.66,1.42,1.51
xyflow/xyflow,xyflow,xyflow,TypeScript,React Flow | Svelte Flow - Powerful open source libraries for building node-based UIs with React (https://reactflow.dev) or Svelte (https://svelteflow.dev). Ready out-of-the-box and infinitely customizable.,https://github.com/xyflow/xyflow,0.76,0.74,8.99,0.76,0.04,0.76,2.51,0.04,0.76,2.4,0.55,1.42,1.51
google/material-design-lite,google,material-design-lite,HTML,Material Design Components in HTML/CSS/JS,https://github.com/google/material-design-lite,0.71,0.75,7.97,0.71,0.02,0.71,3.37,0.02,0.71,2.17,0.5,1.84,1.5
carbon-language/carbon-lang,carbon-language,carbon-lang,C++,"Carbon Language's main repository: documents, design, implementation, and related tools. (NOTE: Carbon Language is experimental; see README)",https://github.com/carbon-language/carbon-lang,0.74,0.71,7.76,0.74,0.03,0.74,3.35,0.03,0.74,2.13,0.53,1.84,1.5
microsoft/qlib,microsoft,qlib,Python,"Qlib is an AI-oriented Quant investment platform that aims to use AI tech to empower Quant Research, from exploring ideas to implementing productions. Qlib supports diverse ML modeling paradigms, including supervised learning, market dynamics modeling, and RL, and is now equipped with https://github.com/microsoft/RD-Agent to automate R&D process.",https://github.com/microsoft/qlib,0.78,0.82,8.33,0.78,0.01,0.78,2.77,0.01,0.78,2.3,0.55,1.55,1.5
dypsilon/frontend-dev-bookmarks,dypsilon,frontend-dev-bookmarks,0,Manually curated collection of resources for frontend web developers.,https://github.com/dypsilon/frontend-dev-bookmarks,1.01,1.02,7.83,1.01,0.0,1.01,1.95,0.0,1.01,2.38,0.7,1.18,1.49
bumptech/glide,bumptech,glide,Java,An image loading and caching library for Android focused on smooth scrolling,https://github.com/bumptech/glide,0.77,0.83,8.23,0.77,0.02,0.77,2.82,0.02,0.77,2.28,0.55,1.57,1.49
pmndrs/react-spring,pmndrs,react-spring,TypeScript,✌️ A spring physics based React animation library,https://github.com/pmndrs/react-spring,0.64,0.61,7.88,0.64,0.03,0.64,3.71,0.03,0.64,2.08,0.45,1.99,1.49
CMU-Perceptual-Computing-Lab/openpose,CMU-Perceptual-Computing-Lab,openpose,C++,"OpenPose: Real-time multi-person keypoint detection library for body, face, hands, and foot estimation",https://github.com/CMU-Perceptual-Computing-Lab/openpose,0.74,0.84,9.39,0.74,0.01,0.74,2.11,0.01,0.74,2.5,0.52,1.21,1.48
ziishaned/learn-regex,ziishaned,learn-regex,0,Learn regex the easy way,https://github.com/ziishaned/learn-regex,1.02,1.05,7.55,1.02,0.0,1.02,1.97,0.0,1.02,2.33,0.71,1.19,1.48
ocrmypdf/OCRmyPDF,ocrmypdf,OCRmyPDF,Python,"OCRmyPDF adds an OCR text layer to scanned PDF files, allowing them to be searched",https://github.com/ocrmypdf/OCRmyPDF,0.71,0.69,9.41,0.71,0.03,0.71,2.28,0.03,0.71,2.44,0.5,1.29,1.48
opendatalab/MinerU,opendatalab,MinerU,Python,Transforms complex documents like PDFs into LLM-ready markdown/JSON for your Agentic workflows.,https://github.com/opendatalab/MinerU,1.14,1.12,7.52,1.14,0.03,1.14,1.37,0.03,1.14,2.41,0.8,0.92,1.48
anthropics/claude-code,anthropics,claude-code,Shell,"Claude Code is an agentic coding tool that lives in your terminal, understands your codebase, and helps you code faster by executing routine tasks, explaining complex code, and handling git workflows - all through natural language commands.",https://github.com/anthropics/claude-code,1.15,1.13,8.3,1.15,0.0,1.15,0.91,0.0,1.15,2.57,0.81,0.69,1.48
google-ai-edge/mediapipe,google-ai-edge,mediapipe,C++,"Cross-platform, customizable ML solutions for live and streaming media.",https://github.com/google-ai-edge/mediapipe,0.72,0.77,9.53,0.72,0.04,0.72,1.97,0.04,0.72,2.5,0.52,1.14,1.47
surrealdb/surrealdb,surrealdb,surrealdb,Rust,"A scalable, distributed, collaborative, document-graph database, for the realtime web",https://github.com/surrealdb/surrealdb,0.68,0.64,8.09,0.68,0.03,0.68,3.23,0.03,0.68,2.15,0.48,1.76,1.47
NARKOZ/hacker-scripts,NARKOZ,hacker-scripts,JavaScript,Based on a true story,https://github.com/NARKOZ/hacker-scripts,1.08,1.13,8.47,1.08,0.0,1.08,0.95,0.0,1.08,2.57,0.76,0.69,1.47
sickcodes/Docker-OSX,sickcodes,Docker-OSX,Shell,Run macOS VM in a Docker! Run near native OSX-KVM in Docker! X11 Forwarding! CI/CD for OS X Security Research! Docker mac Containers.,https://github.com/sickcodes/Docker-OSX,1.14,1.1,7.95,1.14,0.0,1.14,1.06,0.0,1.14,2.49,0.8,0.76,1.47
TabbyML/tabby,TabbyML,tabby,Rust,Self-hosted AI coding assistant,https://github.com/TabbyML/tabby,0.72,0.69,9.06,0.72,0.03,0.72,2.4,0.03,0.72,2.38,0.51,1.35,1.47
charmbracelet/bubbletea,charmbracelet,bubbletea,Go,A powerful little TUI framework 🏗,https://github.com/charmbracelet/bubbletea,0.84,0.79,7.69,0.84,0.01,0.84,2.8,0.01,0.84,2.19,0.59,1.57,1.47
square/leakcanary,square,leakcanary,Kotlin,A memory leak detection library for Android.,https://github.com/square/leakcanary,0.66,0.68,8.84,0.66,0.02,0.66,2.86,0.02,0.66,2.3,0.46,1.56,1.47
standard/standard,standard,standard,JavaScript,"🌟 JavaScript Style Guide, with linter & automatic code fixer",https://github.com/standard/standard,0.65,0.64,7.97,0.65,0.01,0.65,3.46,0.01,0.65,2.11,0.46,1.86,1.47
gedoor/legado,gedoor,legado,Kotlin,"Legado 3.0 Book Reader with powerful controls & full functions❤️阅读3.0, 阅读是一款可以自定义来源阅读网络内容的工具，为广大网络文学爱好者提供一种方便、快捷舒适的试读体验。",https://github.com/gedoor/legado,0.95,0.96,8.73,0.95,0.05,0.95,1.41,0.05,0.95,2.51,0.68,0.91,1.47
xingshaocheng/architect-awesome,xingshaocheng,architect-awesome,0,后端架构师技术图谱,https://github.com/xingshaocheng/architect-awesome,1.34,1.58,6.46,1.34,0.0,1.34,0.77,0.0,1.34,2.44,0.94,0.65,1.46
TapXWorld/ChinaTextbook,TapXWorld,ChinaTextbook,Roff,所有小初高、大学PDF教材。,https://github.com/TapXWorld/ChinaTextbook,1.4,1.57,7.17,1.4,0.0,1.4,0.06,0.0,1.4,2.61,0.98,0.31,1.46
nvim-lua/kickstart.nvim,nvim-lua,kickstart.nvim,Lua,A launch point for your personal nvim configuration,https://github.com/nvim-lua/kickstart.nvim,0.64,1.45,7.17,0.64,0.0,0.64,3.21,0.0,0.64,2.19,0.45,1.73,1.46
songquanpeng/one-api,songquanpeng,one-api,JavaScript,"LLM API 管理 & 分发系统，支持 OpenAI、Azure、Anthropic Claude、Google Gemini、DeepSeek、字节豆包、ChatGLM、文心一言、讯飞星火、通义千问、360 智脑、腾讯混元等主流模型，统一 API 适配，可用于 key 管理与二次分发。单可执行文件，提供 Docker 镜像，一键部署，开箱即用。LLM API management & key redistribution system, unifying multiple providers under a single API. Single binary, Docker-ready, with an English UI.",https://github.com/songquanpeng/one-api,0.64,0.7,9.08,0.64,0.01,0.64,2.69,0.01,0.64,2.34,0.45,1.48,1.46
chinese-poetry/chinese-poetry,chinese-poetry,chinese-poetry,JavaScript,"The most comprehensive database of Chinese poetry 🧶最全中华古诗词数据库,  唐宋两朝近一万四千古诗人,  接近5.5万首唐诗加26万宋诗.  两宋时期1564位词人，21050首词。",https://github.com/chinese-poetry/chinese-poetry,1.12,1.23,7.48,1.12,0.0,1.12,1.3,0.0,1.12,2.42,0.78,0.88,1.46
janhq/jan,janhq,jan,TypeScript,Jan is an open source alternative to ChatGPT that runs 100% offline on your computer.,https://github.com/janhq/jan,0.88,0.85,7.81,0.88,0.05,0.88,2.28,0.05,0.88,2.26,0.63,1.33,1.46
vadimdemedes/ink,vadimdemedes,ink,TypeScript,🌈 React for interactive command-line apps,https://github.com/vadimdemedes/ink,0.74,0.7,7.88,0.74,0.0,0.74,3.04,0.0,0.74,2.16,0.52,1.67,1.46
QuivrHQ/quivr,QuivrHQ,quivr,Python,"Opiniated RAG for integrating GenAI in your apps 🧠   Focus on your product rather than the RAG. Easy integration in existing products with customisation!  Any LLM: GPT4, Groq, Llama. Any Vectorstore: PGVector, Faiss. Any Files. Anyway you want. ",https://github.com/QuivrHQ/quivr,0.85,0.85,7.71,0.85,0.02,0.85,2.42,0.02,0.85,2.23,0.6,1.39,1.45
cloudcommunity/Free-Certifications,cloudcommunity,Free-Certifications,0,A curated list of free courses with certifications. Also available at https://free-certifications.com/,https://github.com/cloudcommunity/Free-Certifications,1.08,1.06,7.26,1.08,0.0,1.08,1.61,0.0,1.08,2.31,0.76,1.02,1.45
v2fly/v2ray-core,v2fly,v2ray-core,Go,A platform for building proxies to bypass network restrictions.,https://github.com/v2fly/v2ray-core,0.72,0.76,7.52,0.72,0.05,0.72,3.08,0.05,0.72,2.1,0.52,1.7,1.45
jgraph/drawio-desktop,jgraph,drawio-desktop,JavaScript,Official electron build of draw.io,https://github.com/jgraph/drawio-desktop,1.29,1.29,7.67,1.29,0.01,1.29,0.31,0.01,1.29,2.57,0.91,0.42,1.45
twitter/the-algorithm,twitter,the-algorithm,Scala,Source code for the X Recommendation Algorithm,https://github.com/twitter/the-algorithm,1.52,1.65,6.16,1.52,0.0,1.52,0.06,0.0,1.52,2.49,1.07,0.34,1.45
binhnguyennus/awesome-scalability,binhnguyennus,awesome-scalability,0,"The Patterns of Scalable, Reliable, and Performant Large-Scale Systems",https://github.com/binhnguyennus/awesome-scalability,1.49,1.49,5.71,1.49,0.01,1.49,0.58,0.01,1.49,2.33,1.04,0.59,1.45
aristocratos/btop,aristocratos,btop,C++,A monitor of resources,https://github.com/aristocratos/btop,0.65,0.61,8.58,0.65,0.01,0.65,2.9,0.01,0.65,2.22,0.46,1.58,1.45
FoundationAgents/OpenManus,FoundationAgents,OpenManus,Python,"No fortress, purely open ground.  OpenManus is Coming.",https://github.com/FoundationAgents/OpenManus,1.15,1.24,7.43,1.15,0.0,1.15,1.1,0.0,1.15,2.43,0.81,0.78,1.45
abhisheknaiidu/awesome-github-profile-readme,abhisheknaiidu,awesome-github-profile-readme,0,😎 A curated list of awesome GitHub Profile which updates in real time ,https://github.com/abhisheknaiidu/awesome-github-profile-readme,0.63,0.67,7.36,0.63,0.0,0.63,3.71,0.0,0.63,1.99,0.45,1.98,1.45
floating-ui/floating-ui,floating-ui,floating-ui,TypeScript,A JavaScript library to position floating elements and create interactions for them.,https://github.com/floating-ui/floating-ui,0.71,0.68,8.82,0.71,0.02,0.71,2.36,0.02,0.71,2.32,0.5,1.33,1.44
kdn251/interviews,kdn251,interviews,Java,Everything you need to know to get the job.,https://github.com/kdn251/interviews,1.42,1.56,5.94,1.42,0.0,1.42,0.58,0.0,1.42,2.37,1.0,0.58,1.44
openai/openai-python,openai,openai-python,Python,The official Python library for the OpenAI API,https://github.com/openai/openai-python,0.65,0.69,8.3,0.65,0.01,0.65,2.96,0.01,0.65,2.19,0.46,1.61,1.44
OpenCut-app/OpenCut,OpenCut-app,OpenCut,TypeScript,The open-source CapCut alternative,https://github.com/OpenCut-app/OpenCut,0.99,0.99,7.5,0.99,0.01,0.99,1.82,0.01,0.99,2.29,0.69,1.11,1.44
termux/termux-app,termux,termux-app,Java,Termux - a terminal emulator application for Android OS extendible by variety of packages.,https://github.com/termux/termux-app,1.07,1.09,7.17,1.07,0.01,1.07,1.64,0.01,1.07,2.3,0.75,1.03,1.44
zxing/zxing,zxing,zxing,Java,"ZXing (""Zebra Crossing"") barcode scanning library for Java, Android",https://github.com/zxing/zxing,0.74,0.87,7.9,0.74,0.03,0.74,2.65,0.03,0.74,2.21,0.53,1.48,1.44
JaidedAI/EasyOCR,JaidedAI,EasyOCR,Python,"Ready-to-use OCR with 80+ supported languages and all popular writing scripts including Latin, Chinese, Arabic, Devanagari, Cyrillic and etc.",https://github.com/JaidedAI/EasyOCR,0.63,0.65,9.43,0.63,0.0,0.63,2.38,0.0,0.63,2.4,0.44,1.32,1.44
pathwaycom/pathway,pathwaycom,pathway,Python,"Python ETL framework for stream processing, real-time analytics, LLM pipelines, and RAG.",https://github.com/pathwaycom/pathway,1.24,1.17,7.33,1.24,0.01,1.24,0.72,0.01,1.24,2.44,0.87,0.61,1.43
FiloSottile/mkcert,FiloSottile,mkcert,Go,A simple zero-config tool to make locally trusted development certificates with any names you'd like.,https://github.com/FiloSottile/mkcert,1.27,1.22,7.0,1.27,0.0,1.27,0.75,0.0,1.27,2.4,0.89,0.63,1.43
2dust/v2rayNG,2dust,v2rayNG,Kotlin,"A V2Ray client for Android, support Xray core and v2fly core",https://github.com/2dust/v2rayNG,1.08,1.13,7.64,1.08,0.01,1.08,1.16,0.01,1.08,2.41,0.76,0.8,1.43
utmapp/UTM,utmapp,UTM,Swift,Virtual machines for iOS and macOS,https://github.com/utmapp/UTM,0.71,0.68,9.46,0.71,0.03,0.71,1.86,0.03,0.71,2.45,0.5,1.08,1.43
jumpserver/jumpserver,jumpserver,jumpserver,Python,"JumpServer is an open-source Privileged Access Management (PAM) platform that provides DevOps and IT teams with on-demand and secure access to SSH, RDP, Kubernetes, Database and RemoteApp endpoints through a web browser.",https://github.com/jumpserver/jumpserver,0.65,0.7,9.03,0.65,0.09,0.65,2.32,0.09,0.65,2.34,0.48,1.32,1.43
google/material-design-icons,google,material-design-icons,0,Material Design icons by Google (Material Symbols),https://github.com/google/material-design-icons,1.16,1.26,7.95,1.16,0.0,1.16,0.56,0.0,1.16,2.55,0.81,0.51,1.43
lllyasviel/Fooocus,lllyasviel,Fooocus,Python,Focus on prompting and generating,https://github.com/lllyasviel/Fooocus,1.04,1.11,7.81,1.04,0.01,1.04,1.2,0.01,1.04,2.42,0.73,0.81,1.43
AdguardTeam/AdGuardHome,AdguardTeam,AdGuardHome,Go,Network-wide ads & trackers blocking DNS server,https://github.com/AdguardTeam/AdGuardHome,0.7,0.69,9.41,0.7,0.03,0.7,1.9,0.03,0.7,2.44,0.5,1.1,1.43
spacedriveapp/spacedrive,spacedriveapp,spacedrive,Rust,"Spacedrive is an open source cross-platform file explorer, powered by a virtual distributed filesystem written in Rust.",https://github.com/spacedriveapp/spacedrive,0.8,0.76,7.9,0.8,0.03,0.8,2.32,0.03,0.8,2.21,0.57,1.33,1.42
schollz/croc,schollz,croc,Go,Easily and securely send things from one computer to another :crocodile: :package:,https://github.com/schollz/croc,0.74,0.71,8.18,0.74,0.02,0.74,2.46,0.02,0.74,2.22,0.52,1.39,1.42
atlassian/react-beautiful-dnd,atlassian,react-beautiful-dnd,JavaScript,Beautiful and accessible drag and drop for lists with React,https://github.com/atlassian/react-beautiful-dnd,0.75,0.74,8.04,0.75,0.01,0.75,2.53,0.01,0.75,2.2,0.53,1.41,1.42
drawdb-io/drawdb,drawdb-io,drawdb,JavaScript,"Free, simple, and intuitive online database diagram editor and SQL generator.",https://github.com/drawdb-io/drawdb,0.78,0.77,7.74,0.78,0.01,0.78,2.59,0.01,0.78,2.17,0.55,1.45,1.42
